Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-01-02,ADANIPORTS,EQ,268.45,269.8,276.9,267.0,274.0,273.8,270.73,2622173,70988990340000.0,20424,1165259,0.44439999999999996
2017-01-03,ADANIPORTS,EQ,273.8,275.2,277.7,272.05,274.0,273.95,274.98,2064823,56777994320000.01,21844,967184,0.46840000000000004
2017-01-04,ADANIPORTS,EQ,273.95,275.15,276.9,272.2,275.25,274.9,274.96,2741205,75372951530000.0,31041,1634460,0.5963
2017-01-05,ADANIPORTS,EQ,274.9,276.3,288.9,275.5,285.9,287.5,283.99,5997054,170309586450000.0,68394,2750478,0.4586
2017-01-06,ADANIPORTS,EQ,287.5,288.8,291.8,285.0,285.25,286.05,288.97,5651466,163309730730000.0,61136,3473423,0.6146
2017-01-09,ADANIPORTS,EQ,286.05,286.35,289.0,282.6,284.55,284.7,286.25,2877279,82361085825000.0,28297,1823327,0.6337
2017-01-10,ADANIPORTS,EQ,284.7,285.1,294.7,285.0,293.9,293.9,290.7,5779720,168015803290000.0,72020,3080245,0.5329
2017-01-11,ADANIPORTS,EQ,293.9,295.9,299.75,294.5,294.6,295.65,297.38,3323800,98841992305000.0,58742,1527096,0.4594
2017-01-12,ADANIPORTS,EQ,295.65,297.0,298.85,289.55,292.45,292.75,294.19,3420733,100635495415000.0,37961,1572996,0.4598
2017-01-13,ADANIPORTS,EQ,292.75,294.5,295.15,290.55,293.55,294.05,293.15,1699998,49835446825000.0,19650,560133,0.3295
2017-01-16,ADANIPORTS,EQ,294.05,294.7,302.95,292.4,301.25,300.65,299.4,3614730,108225654380000.0,44027,1348545,0.37310000000000004
2017-01-17,ADANIPORTS,EQ,300.65,302.45,302.45,292.6,294.9,294.85,295.71,2231245,65980249710000.0,23516,383954,0.1721
2017-01-18,ADANIPORTS,EQ,294.85,296.75,300.55,290.05,292.0,291.9,295.03,2613239,77097618730000.0,33590,913846,0.3497
2017-01-19,ADANIPORTS,EQ,291.9,292.1,297.5,292.0,295.15,295.35,295.21,2290542,67618477400000.0,26571,813303,0.35509999999999997
2017-01-20,ADANIPORTS,EQ,295.35,295.0,296.35,283.4,284.25,284.15,289.13,3279639,94822712340000.0,38077,1240308,0.37820000000000004
2017-01-23,ADANIPORTS,EQ,284.15,285.15,289.35,284.15,285.95,286.25,286.39,2261781,64775483325000.0,18406,716383,0.31670000000000004
2017-01-24,ADANIPORTS,EQ,286.25,287.0,294.95,286.0,294.9,293.15,291.16,1945278,56639326179999.99,23856,432805,0.2225
2017-01-25,ADANIPORTS,EQ,293.15,295.25,306.1,294.45,304.5,304.65,300.86,4477090,134698226920000.0,49029,1826751,0.408
2017-01-27,ADANIPORTS,EQ,304.65,305.0,308.95,302.1,304.0,303.95,305.2,3386640,103358997950000.0,44176,943358,0.2786
2017-01-30,ADANIPORTS,EQ,303.95,303.75,305.85,301.35,303.5,302.6,303.51,2241418,68030043954999.99,31135,968991,0.43229999999999996
2017-01-31,ADANIPORTS,EQ,302.6,303.5,305.95,292.5,293.7,293.35,298.19,3859712,115093691470000.0,61220,1935581,0.5015
2017-02-01,ADANIPORTS,EQ,293.35,295.55,306.0,293.65,304.3,304.6,300.25,3158512,94835857550000.0,44791,1135905,0.35960000000000003
2017-02-02,ADANIPORTS,EQ,304.6,305.45,308.6,301.2,302.7,304.15,305.2,3018242,92117352265000.0,51384,1139094,0.3774
2017-02-03,ADANIPORTS,EQ,304.15,304.55,311.25,301.7,304.3,303.55,305.85,3352462,102536434920000.0,33132,1381035,0.4119
2017-02-06,ADANIPORTS,EQ,303.55,305.85,311.0,302.6,308.65,309.2,307.26,2426463,74554686135000.0,31867,904359,0.37270000000000003
2017-02-07,ADANIPORTS,EQ,309.2,309.3,310.4,301.25,303.85,303.65,305.65,1803476,55122654450000.0,19676,565788,0.31370000000000003
2017-02-08,ADANIPORTS,EQ,303.65,306.05,306.9,299.0,305.05,305.55,303.9,1581009,48046915185000.0,16715,468983,0.29660000000000003
2017-02-09,ADANIPORTS,EQ,305.55,306.5,308.1,300.85,305.0,304.8,304.27,2032244,61835210895000.01,27929,900305,0.443
2017-02-10,ADANIPORTS,EQ,304.8,305.6,313.7,305.1,311.5,311.25,311.04,5313049,165255020400000.0,48394,2318284,0.4363
2017-02-13,ADANIPORTS,EQ,311.25,313.2,314.8,304.6,309.05,309.55,310.17,2291161,71064963510000.0,20377,429302,0.18739999999999998
2017-02-14,ADANIPORTS,EQ,309.55,310.0,315.9,305.25,306.15,307.0,311.7,6996004,218065900275000.0,67807,1604989,0.22940000000000002
2017-02-15,ADANIPORTS,EQ,307.0,308.1,313.5,297.0,299.85,299.95,304.79,4562477,139061108745000.0,60951,1275480,0.2796
2017-02-16,ADANIPORTS,EQ,299.95,300.0,303.0,294.0,299.55,298.6,298.4,2837571,84674396135000.0,37356,579430,0.20420000000000002
2017-02-17,ADANIPORTS,EQ,298.6,300.1,302.5,295.8,296.0,297.25,298.64,2264046,67613708115000.0,36622,618202,0.2731
