Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-10-25,ADANIPOWER,EQ,33.7,33.25,33.7,32.65,33.05,33.0,33.15,15207295,50411513035000.0,20088,2736606,0.18
2018-10-26,ADANIPOWER,EQ,33.0,33.05,36.15,32.3,35.3,35.55,33.92,25659732,87037748245000.0,34406,4166610,0.1624
2018-10-29,ADANIPOWER,EQ,35.55,35.7,44.1,34.35,42.05,42.3,40.17,98162778,394368869320000.0,157604,17908267,0.18239999999999998
2018-10-30,ADANIPOWER,EQ,42.3,41.95,45.6,41.6,44.8,44.75,43.57,52394875,228308424900000.0,83379,7458643,0.1424
2018-10-31,ADANIPOWER,EQ,44.75,45.0,46.65,43.65,45.9,46.1,45.3,40384600,182952996345000.0,70751,5963073,0.1477
2018-11-01,ADANIPOWER,EQ,46.1,45.8,51.9,45.0,49.65,50.2,48.48,76913113,372907800695000.0,117835,12468999,0.16210000000000002
2018-11-02,ADANIPOWER,EQ,50.2,50.25,52.75,48.65,49.3,49.85,50.84,60809218,309171885335000.0,105050,6517786,0.1072
2018-11-05,ADANIPOWER,EQ,49.85,49.0,51.0,48.6,50.35,50.3,49.95,31165456,155681577470000.0,51347,3716207,0.1192
2018-11-06,ADANIPOWER,EQ,50.3,50.7,50.95,48.65,49.65,49.3,49.98,16991636,84932477335000.0,29630,1775212,0.1045
2018-11-07,ADANIPOWER,EQ,49.3,49.8,50.25,49.2,49.45,49.6,49.73,3416766,16991412355000.002,7678,901950,0.264
2018-11-09,ADANIPOWER,EQ,49.6,49.6,50.9,49.25,50.05,50.0,50.17,16991410,85245537240000.0,27108,2222402,0.1308
2018-11-12,ADANIPOWER,EQ,50.0,50.15,50.25,46.9,48.35,48.15,48.78,19517745,95203444105000.0,31151,4334423,0.22210000000000002
2018-11-13,ADANIPOWER,EQ,48.15,48.15,49.2,47.4,48.55,48.55,48.34,20560525,99397869875000.0,28757,1251205,0.0609
2018-11-14,ADANIPOWER,EQ,48.55,48.95,50.2,48.35,48.85,49.3,49.31,18786883,92646226360000.0,28878,2543870,0.1354
2018-11-15,ADANIPOWER,EQ,49.3,48.9,50.0,48.3,48.6,48.7,49.1,15528852,76253378900000.0,21065,1426975,0.0919
2018-11-16,ADANIPOWER,EQ,48.7,48.55,48.55,46.75,47.55,47.55,47.47,16223924,77011568175000.0,24077,2274732,0.1402
2018-11-19,ADANIPOWER,EQ,47.55,47.55,48.2,46.55,48.0,47.4,47.18,9899995,46708198235000.0,17365,1518223,0.1534
2018-11-20,ADANIPOWER,EQ,47.4,47.4,49.0,46.75,46.85,47.25,48.06,14151952,68011679150000.0,21271,1393741,0.0985
2018-11-21,ADANIPOWER,EQ,47.25,46.9,47.5,45.95,46.7,46.4,46.8,15562279,72829100940000.0,24105,2042933,0.1313
2018-11-22,ADANIPOWER,EQ,46.4,46.65,48.1,46.2,48.0,47.55,47.17,12456135,58760299304999.99,29777,3263304,0.262
2018-11-26,ADANIPOWER,EQ,47.55,48.0,51.0,48.0,50.45,50.5,50.14,31492363,157901986505000.0,63810,5710003,0.1813
2018-11-27,ADANIPOWER,EQ,50.5,50.5,51.2,50.15,50.45,50.6,50.74,13328673,67624524004999.99,28411,2361294,0.1772
2018-11-28,ADANIPOWER,EQ,50.6,50.7,54.9,49.1,54.0,54.45,52.66,38498790,202720308685000.0,67415,7357943,0.1911
2018-11-29,ADANIPOWER,EQ,54.45,54.9,57.5,54.5,55.2,55.45,55.9,39117988,218683729315000.0,72568,6500144,0.16620000000000001
2018-11-30,ADANIPOWER,EQ,55.45,55.7,56.3,54.3,55.2,55.5,55.35,30203347,167168886540000.0,41699,10067143,0.3333
2018-12-03,ADANIPOWER,EQ,55.5,56.35,58.35,55.7,57.8,57.85,57.27,29914058,171331531535000.0,55341,3483006,0.1164
2018-12-04,ADANIPOWER,EQ,57.85,58.0,58.0,55.4,55.55,56.25,56.88,18072834,102793089600000.0,33361,3236401,0.1791
2018-12-05,ADANIPOWER,EQ,56.25,55.0,55.2,53.5,54.3,54.05,54.3,17905386,97233517220000.0,27113,2984389,0.16670000000000001
2018-12-06,ADANIPOWER,EQ,54.05,53.95,53.95,49.8,52.0,52.1,51.64,19078322,98523665000000.0,33198,2402354,0.1259
2018-12-07,ADANIPOWER,EQ,52.1,52.05,53.0,51.45,52.75,52.55,52.23,9694543,50631427795000.0,17194,1406084,0.145
2018-12-10,ADANIPOWER,EQ,52.55,48.7,49.95,48.55,48.95,48.95,49.03,16869159,82708068290000.0,27383,3242585,0.19219999999999998
2018-12-11,ADANIPOWER,EQ,48.95,47.55,51.7,47.45,51.6,50.8,50.16,24442128,122608536934999.98,39451,2523727,0.1033
2018-12-12,ADANIPOWER,EQ,50.8,51.25,53.25,51.25,52.7,52.8,52.42,13963680,73201541895000.0,20206,1519127,0.10880000000000001
2018-12-13,ADANIPOWER,EQ,52.8,54.0,54.25,50.0,52.2,51.95,52.6,13557527,71317955130000.0,23268,2325184,0.17149999999999999
2018-12-14,ADANIPOWER,EQ,51.95,51.95,53.0,51.25,52.15,52.3,52.19,9231345,48177495745000.0,16871,885994,0.096
2018-12-17,ADANIPOWER,EQ,52.3,52.35,53.55,51.8,52.8,52.9,52.72,7468071,39373253575000.0,16404,1389583,0.1861
2018-12-18,ADANIPOWER,EQ,52.9,52.05,53.2,51.85,53.1,52.8,52.47,6914284,36281052910000.0,13766,1220229,0.1765
2018-12-19,ADANIPOWER,EQ,52.8,53.0,53.7,52.05,52.4,52.7,52.98,10000224,52983602400000.0,15312,1916581,0.1917
2018-12-20,ADANIPOWER,EQ,52.7,52.05,52.55,51.6,52.0,52.0,51.97,8249803,42875022480000.0,12454,1455053,0.1764
2018-12-21,ADANIPOWER,EQ,52.0,52.35,52.6,50.0,50.5,50.35,51.03,10831915,55278172665000.0,16273,2832835,0.2615
2018-12-24,ADANIPOWER,EQ,50.35,50.85,51.4,49.4,50.8,50.8,50.36,5916350,29795742695000.0,13636,961320,0.1625
2018-12-26,ADANIPOWER,EQ,50.8,50.5,51.9,49.5,50.75,50.85,50.42,12324109,62140268804999.99,17144,1415121,0.11480000000000001
2018-12-27,ADANIPOWER,EQ,50.85,51.2,52.0,51.0,51.2,51.35,51.42,10525643,54127203185000.0,15147,2079567,0.19760000000000003
2018-12-28,ADANIPOWER,EQ,51.35,51.25,51.7,50.6,50.7,50.95,51.22,9364158,47964127970000.0,12102,1700230,0.1816
2018-12-31,ADANIPOWER,EQ,50.95,50.9,51.3,50.6,51.0,50.95,50.95,5589391,28479169295000.0,8945,849984,0.1521
2019-01-01,ADANIPOWER,EQ,50.95,51.0,51.15,50.45,50.95,50.85,50.84,6302024,32040409055000.0,7706,782027,0.1241
